time_ms,iso_utc,funding_rate_hourly,premium
1780855200001,2026-06-07T18:00:00.001000+00:00,0.0000125,-0.0002171795
1780858800055,2026-06-07T19:00:00.055000+00:00,0.0000125,-0.0003936746
1780862400046,2026-06-07T20:00:00.046000+00:00,0.0000125,-0.0002411191
1780866000028,2026-06-07T21:00:00.028000+00:00,-0.0000048964,-0.0005391713
1780869600052,2026-06-07T22:00:00.052000+00:00,0.0000125,-0.0002622383
1780873200003,2026-06-07T23:00:00.003000+00:00,0.0000125,-0.0002355164
1780876800034,2026-06-08T00:00:00.034000+00:00,0.0000125,-0.0002543704
1780880400034,2026-06-08T01:00:00.034000+00:00,0.0000027729,-0.0004778165
1780884000011,2026-06-08T02:00:00.011000+00:00,0.0000125,-0.0003272883
1780887600005,2026-06-08T03:00:00.005000+00:00,-0.0000321187,-0.0007569494
1780891200025,2026-06-08T04:00:00.025000+00:00,-0.0000129001,-0.0006032009
1780894800046,2026-06-08T05:00:00.046000+00:00,0.0000095541,-0.0004235674
1780898400031,2026-06-08T06:00:00.031000+00:00,-0.000004312,-0.0005344961
1780902000063,2026-06-08T07:00:00.063000+00:00,-0.0000257002,-0.000705602
1780905600003,2026-06-08T08:00:00.003000+00:00,-0.0000205492,-0.0006643933
1780909200009,2026-06-08T09:00:00.009000+00:00,0.0000048311,-0.0004613511
1780912800047,2026-06-08T10:00:00.047000+00:00,0.0000034299,-0.000472561
1780916400017,2026-06-08T11:00:00.017000+00:00,0.000002746,-0.0004780318
1780920000056,2026-06-08T12:00:00.056000+00:00,0.0000125,-0.0002451718
1780923600057,2026-06-08T13:00:00.057000+00:00,0.0000125,-0.0002708631
1780927200035,2026-06-08T14:00:00.035000+00:00,0.0000125,-0.0001156943
1780930800045,2026-06-08T15:00:00.045000+00:00,0.0000125,-0.000080688
1780934400055,2026-06-08T16:00:00.055000+00:00,0.0000125,-0.0001034515
1780938000075,2026-06-08T17:00:00.075000+00:00,0.0000125,-0.0000703503
1780941600012,2026-06-08T18:00:00.012000+00:00,0.0000125,-0.0001015278
1780945200027,2026-06-08T19:00:00.027000+00:00,0.0000125,-0.0003138842
1780948800032,2026-06-08T20:00:00.032000+00:00,0.0000095369,-0.0004237045
1780952400056,2026-06-08T21:00:00.056000+00:00,0.0000125,-0.0003674824
1780956000019,2026-06-08T22:00:00.019000+00:00,0.0000125,-0.0003506406
1780959600022,2026-06-08T23:00:00.022000+00:00,0.0000125,-0.0001365156
1780963200005,2026-06-09T00:00:00.005000+00:00,0.0000125,-0.0001678243
1780966800014,2026-06-09T01:00:00.014000+00:00,0.0000125,-0.000160699
1780970400051,2026-06-09T02:00:00.051000+00:00,0.0000066622,-0.0004467025
1780974000043,2026-06-09T03:00:00.043000+00:00,0.0000125,-0.0001678022
1780977600002,2026-06-09T04:00:00.002000+00:00,0.0000125,-0.0003678584
1780981200011,2026-06-09T05:00:00.011000+00:00,0.0000125,-0.0003933172
1780984800060,2026-06-09T06:00:00.060000+00:00,0.0000125,-0.0002706664
1780988400027,2026-06-09T07:00:00.027000+00:00,0.0000125,-0.00028666
